trade_date	stock_code	stock_name	open_price	highest_price	lowest_price	close_price	turnover_volume	turnover_amount
2000/01/04	399002	深成指R	3903	4066.92	3885.38	4048.27	7197256	5199122944
2000/01/05	399002	深成指R	4052.46	4160.69	4015.1	4040.05	9221630	7373603840
2000/01/06	399002	深成指R	4027.55	4248.6	4003.16	4238.79	11130357	9065579520
2000/01/07	399002	深成指R	4294.22	4462.04	4294.22	4439.14	29520363	18945583104
2000/01/10	399002	深成指R	4501.84	4558.22	4443.19	4547.7	26704197	18482948096
2000/01/11	399002	深成指R	4551.57	4559.17	4279.89	4309.36	17405236	13518095360
2000/01/12	399002	深成指R	4288.23	4370.01	4154.8	4176.89	11286935	9837507584
2000/01/13	399002	深成指R	4175.03	4215.82	4114.01	4149.15	7360468	5924907008
2000/01/14	399002	深成指R	4150.57	4182.75	4085.19	4107.32	6074041	5116497920
2000/01/17	399002	深成指R	4098.56	4173.08	4052.52	4168.79	6112248	5444475904
2000/01/18	399002	深成指R	4177.45	4213.49	4126.47	4141.06	7205023	6759401984
2000/01/19	399002	深成指R	4127.42	4222.54	4126.64	4179.39	7256181	6850390016
2000/01/20	399002	深成指R	4184.55	4257.97	4178.49	4256.93	9668442	10429598720
2000/01/21	399002	深成指R	4278.9	4347.71	4228.48	4298.53	13750419	13755101184
2000/01/24	399002	深成指R	4307.04	4342.25	4233.35	4338.97	14496943	15043770368
2000/01/25	399002	深成指R	4360.29	4420.57	4301.59	4329.23	12299982	12917107712
2000/01/26	399002	深成指R	4319.74	4360.61	4297.92	4341.5	9488468	9621924864
2000/01/27	399002	深成指R	4395.28	4482.15	4361.67	4470.17	15696552	15179144192
2000/01/28	399002	深成指R	4524.01	4599.51	4501.68	4599.51	24163545	18874515456
2000/02/14	399002	深成指R	4778.12	5032.54	4768.6	5032.2	41165944	22950275072
2000/02/15	399002	深成指R	5173.69	5338.92	5065.48	5124.75	43464289	34348032000
2000/02/16	399002	深成指R	5162.06	5221.35	5051.63	5203.68	32198046	32057499648
2000/02/17	399002	深成指R	5332.04	5476.89	4965.24	5032.7	43346954	42531794944
2000/02/18	399002	深成指R	4984.18	5087.21	4774.23	5082.36	25030638	25981466624
2000/02/21	399002	深成指R	5121.66	5178.13	4984.39	5065.97	27407895	27890167808
2000/02/22	399002	深成指R	5062.4	5129.64	4868.64	4881.79	21158693	22525124608
2000/02/23	399002	深成指R	4819.73	4855.31	4705.8	4746.54	18378723	18635108352
2000/02/24	399002	深成指R	4727.89	4926.36	4727.89	4925.38	14621301	16027230208
2000/02/25	399002	深成指R	4964.7	5015.41	4886.4	4974.54	16056692	18201925632
2000/02/28	399002	深成指R	4988.72	5264.5	4952.63	5234.86	22436759	23432044544
2000/02/29	399002	深成指R	5285.4	5329.62	5100.38	5236.28	23817364	24213958656
2000/03/01	399002	深成指R	5218.09	5266.06	5132.92	5166.58	20248947	21361319936
2000/03/02	399002	深成指R	5144.96	5259.77	5105.58	5186.59	19019564	19562784768
2000/03/03	399002	深成指R	5209.17	5350.23	5208.79	5241.72	24434214	23183394816
2000/03/06	399002	深成指R	5277.59	5315.96	5033.86	5038.92	26990658	23499063296
2000/03/07	399002	深成指R	4993.35	5140.8	4974.91	5138.9	18351075	15348717568
2000/03/08	399002	深成指R	5152.84	5275.84	5107.08	5255.59	19548336	15831652352
2000/03/09	399002	深成指R	5292.28	5383.86	5226.59	5315.32	17758871	18802458624
2000/03/10	399002	深成指R	5328.44	5361.25	5199.1	5214.97	16516692	15958402048
2000/03/13	399002	深成指R	5213.75	5283.76	5201.67	5253.88	21591508	15636558848
2000/03/14	399002	深成指R	5111.94	5160.79	4953.32	5110.31	23770767	19321698304
2000/03/15	399002	深成指R	5103.3	5162.94	5056.55	5065.23	17821030	15033082880
2000/03/16	399002	深成指R	5030.15	5030.15	4792.12	4828.54	19280339	14682858496
2000/03/17	399002	深成指R	4808.03	5056.66	4807.87	5040.67	15262773	13968429056
2000/03/20	399002	深成指R	4966.9	5108.2	4944.61	5104.1	18084505	17067937792
2000/03/21	399002	深成指R	5097.95	5150.25	5082.33	5127.39	17764564	18361202688
2000/03/22	399002	深成指R	5134.9	5237.03	5122.84	5187.14	17450862	17918773248
2000/03/23	399002	深成指R	5198.29	5241.67	5121.8	5241.07	18922904	19417380864
2000/03/24	399002	深成指R	5264.16	5344.42	5194.21	5198.57	23537259	23574188032
2000/03/27	399002	深成指R	5199.96	5326.67	5199.96	5321.95	22943152	22645590016
2000/03/28	399002	深成指R	5370.96	5394.7	5294.06	5346.97	26391252	24452352000
2000/03/29	399002	深成指R	5375.24	5394.65	5259.92	5318	21574154	20237178880
2000/03/30	399002	深成指R	5325.32	5345.9	5289.71	5339.2	27297075	19425087488
2000/03/31	399002	深成指R	5336.43	5336.64	5230.91	5279.71	22214673	19723560960
2000/04/03	399002	深成指R	5269.65	5302.87	5249.21	5250.96	20849647	17924898816
2000/04/04	399002	深成指R	5258.58	5258.58	5124.84	5137.33	17895751	15292701696
2000/04/05	399002	深成指R	5119.82	5179.69	5105.49	5178.81	14518753	12800788480
2000/04/06	399002	深成指R	5182.14	5278.99	5171.86	5277.62	16270906	15838893056
2000/04/07	399002	深成指R	5307.28	5326.38	5260.15	5312.05	19586432	19183904768
2000/04/10	399002	深成指R	5311.95	5351.15	5271.9	5300.13	19115800	18339772416
2000/04/11	399002	深成指R	5312.73	5389.9	5259.83	5361.01	16524069	17333624832
2000/04/12	399002	深成指R	5377.93	5386.46	5247.39	5292.72	13937328	14274335744
2000/04/13	399002	深成指R	5291.29	5382.4	5281	5366.21	15900689	16283187200
2000/04/14	399002	深成指R	5393.72	5420.79	5346.66	5387.48	18110673	17315926016
2000/04/17	399002	深成指R	5382.17	5398.32	5246.33	5302.38	19555299	17935663104
2000/04/18	399002	深成指R	5301.53	5343.01	5252.26	5329.69	12187357	12730064896
2000/04/19	399002	深成指R	5351.8	5380.16	5326.25	5335.13	13233962	13105896448
2000/04/20	399002	深成指R	5343.28	5368.36	5337.14	5352.68	14480724	14973523968
2000/04/21	399002	深成指R	5365.47	5385.98	5309.05	5318.46	15215106	14603679744
2000/04/24	399002	深成指R	5313.05	5338.08	5269.84	5287.52	13980701	13118511104
2000/04/25	399002	深成指R	5290.36	5314.17	5243.34	5282.03	10596520	10561433600
2000/04/26	399002	深成指R	5295.9	5360.55	5291.52	5314.4	10240232	10112178176
2000/04/27	399002	深成指R	5334.62	5382.93	5297.42	5313.09	12229694	11915356160
2000/04/28	399002	深成指R	5316.64	5470.43	5286.35	5467.99	12166850	13590585344
2000/05/08	399002	深成指R	5498.44	5514.04	5420.62	5433.82	10364453	11473491968
2000/05/09	399002	深成指R	5428.25	5429.94	5282.53	5317.93	9788878	10477958144
2000/05/10	399002	深成指R	5295.91	5295.91	5169.08	5181.82	9511288	9049158656
2000/05/11	399002	深成指R	5158.96	5217.47	5082.09	5096.31	7962096	8303226880
2000/05/12	399002	深成指R	5097.81	5163.48	5072.3	5108.99	7341147	7051359232
